# Auto Proxy List
# Build Time: 2026-05-31 17:11:50 UTC
socks4://47.82.164.215:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.179.5:1080                     | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.155.127:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.177.186:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.163.224:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.154.124:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.163.227:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.146.26:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.153.28:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.177.160:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.145.158:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.155.226:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.255.66:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.178.26:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.145.172:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.254.202:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.177.178:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.255.160:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.0.201:1080                     | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.167.98:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.164.245:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.177.136:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.155.41:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.255.211:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.162.248:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.154.42:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.255.106:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.79.251.134:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.151.56:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.180.243:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.147.241:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.148.138:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.153.115:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.153.54:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.150.23:1080                    | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.163.170:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
socks4://47.82.164.216:1080                   | Singapore (SG) | User: business     | ISP: Alibaba US Technology Co., Ltd.
